timestamp,gaze_x,gaze_y,valid_gaze,field_width,field_height,aruco_markers_present,aruco_IDs,aruco_X_vals,aruco_Y_vals,left_pupil_x,left_pupil_y,left_pupil_width,left_pupil_height,left_pupil_angle,left_pupil_valid,right_pupil_x,right_pupil_y,right_pupil_width,right_pupil_height,right_pupil_angle,right_pupil_valid
806562,366.625,21.9596,True,1280,720,True,188:128,1101.82:641.362,640.485:620.458,265.35,295.409,43.3516,55.9042,133.447,True,140.517,348.516,77.9297,83.9885,0.0,True
806597,1597.85,1689.39,True,1280,720,True,188:128,1105.49:646,638.856:618,212.306,308.415,37.0874,104.479,13.9825,True,260.0,330.0,0.0,0.0,0.0,True
806637,775.381,518.753,True,1280,720,True,128,648.363,618.451,258.0,294.0,0.0,0.0,0.0,True,262.0,330.0,0.0,0.0,0.0,True
806681,735.536,480.444,True,1280,720,True,128,643.869,624.835,264.625,294.135,43.4041,53.945,134.699,True,260.0,330.0,0.0,0.0,0.0,True
806721,452.641,1715.01,True,1280,720,True,128,643.242,629.298,265.28,294.864,42.7424,54.1151,129.516,True,327.735,401.444,38.0782,96.5948,96.2584,True
806758,764.994,475.374,True,1280,720,True,128,643.242,629.298,265.868,294.956,43.1165,53.3314,130.454,True,275.046,332.483,61.2284,68.3213,9.07549,True
806798,716.261,433.836,True,1280,720,True,128,646.851,635.818,278.682,316.953,107.589,173.407,66.0092,True,262.0,326.0,0.0,0.0,0.0,True
806813,734.52,492.622,True,1280,720,True,128,646.851,635.818,266.578,296.865,42.2625,53.2853,131.844,True,264.0,326.0,0.0,0.0,0.0,True
806862,733.645,495.19,True,1280,720,True,128,648.851,647.818,267.959,298.765,42.2841,52.772,130.274,True,266.0,324.0,0.0,0.0,0.0,True
806901,723.727,498.031,True,1280,720,True,128,650.191,651.243,267.998,299.345,42.5997,52.9375,130.068,True,262.0,322.0,0.0,0.0,0.0,True
806934,725.507,500.26,True,1280,720,False,None,None,None,267.944,300.097,42.3275,53.821,131.587,True,262.0,322.0,0.0,0.0,0.0,True
806966,63.4449,429.901,True,1280,720,False,None,None,None,268.066,300.361,42.3528,53.7295,131.037,True,123.881,356.48,103.717,124.42,0.0,True
807001,-1648.29,7887.96,True,1280,720,False,None,None,None,268.34,300.646,42.1295,53.8825,130.082,True,389.813,412.744,95.0995,216.548,132.496,True
807033,722.137,502.107,True,1280,720,False,None,None,None,268.363,300.602,42.4206,53.8794,129.137,True,262.0,320.0,0.0,0.0,0.0,True
807065,-12184.3,38508.1,True,1280,720,False,None,None,None,268.108,300.586,41.6154,54.4295,132.313,True,511.211,425.296,32.164,67.3588,102.436,True
807094,741.731,500.316,True,1280,720,False,None,None,None,268.388,300.465,42.2373,53.9962,131.855,True,270.0,322.0,0.0,0.0,0.0,True
807118,738.505,501.488,True,1280,720,False,None,None,None,268.907,301.009,42.1057,53.8975,129.188,True,270.0,320.0,0.0,0.0,0.0,True
807141,-1239.83,12297.0,True,1280,720,False,None,None,None,269.719,301.355,41.7136,54.258,127.761,True,40.1894,248.998,117.446,131.62,0.0,True
